Time,Target,URL,Mode,Status,Latency(ms)
2026-05-29 15:17:02,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285126D38C0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2015
2026-05-29 15:17:02,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000285126D3B60>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",20262026-05-29 15:17:02,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002851271A990>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2009
2026-05-29 15:17:02,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2012
2026-05-29 15:17:02,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271AC10>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2024
2026-05-29 15:17:09,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271B750>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2013
2026-05-29 15:17:09,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285126F1A70>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2012
2026-05-29 15:17:09,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002851270B2F0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2013
2026-05-29 15:17:09,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285126F1350>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2013
2026-05-29 15:17:09,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2013
2026-05-29 15:17:09,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271BED0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2013
2026-05-29 15:17:09,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2013
2026-05-29 15:17:16,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512706580>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2022
2026-05-29 15:17:16,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271B610>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2022
2026-05-29 15:17:16,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2014
2026-05-29 15:17:16,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2017
2026-05-29 15:17:16,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285127068B0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2015
2026-05-29 15:17:16,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285127059D0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2022
2026-05-29 15:17:16,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271B390>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2016
2026-05-29 15:17:23,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2007
2026-05-29 15:17:23,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512704C00>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2023
2026-05-29 15:17:23,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271AC10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2024
2026-05-29 15:17:23,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512704AF0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2023
2026-05-29 15:17:23,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271AAD0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2024
2026-05-29 15:17:23,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2023
2026-05-29 15:17:23,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512705BF0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2023
2026-05-29 15:17:30,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271AFD0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2013
2026-05-29 15:17:30,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2004
nnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285127049E0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2011
2026-05-29 15:17:30,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000028512718B90>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2006
2026-05-29 15:17:30,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512705BF0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2006
2026-05-29 15:17:30,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2004
2026-05-29 15:17:37,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512704AF0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2007
,2006
2026-05-29 15:17:37,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2021
2026-05-29 15:17:37,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271B890>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2010
2026-05-29 15:17:37,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512706690>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2009
2026-05-29 15:17:37,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512704D10>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2018
2026-05-29 15:17:37,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2007
2026-05-29 15:17:44,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271A490>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2007
2026-05-29 15:17:44,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512706580>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2023
2026-05-29 15:17:44,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2022
2026-05-29 15:17:44,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512706250>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2022
2026-05-29 15:17:44,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285127046B0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2024
2026-05-29 15:17:44,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271BB10>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2025
2026-05-29 15:17:51,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2006
2026-05-29 15:17:51,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271BB10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2022
2026-05-29 15:17:51,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2022
2026-05-29 15:17:51,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285127046B0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2022
2026-05-29 15:17:51,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271A210>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2023
2026-05-29 15:17:51,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512705480>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2024
2026-05-29 15:17:58,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285127058C0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2019
2026-05-29 15:17:58,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2017
2026-05-29 15:17:58,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2009
2026-05-29 15:17:58,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271B610>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2013
2026-05-29 15:17:58,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271B890>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2016
2026-05-29 15:17:58,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000285127067A0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2017
2026-05-29 15:17:58,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512706250>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2007
2026-05-29 15:18:06,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271BED0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2012
2026-05-29 15:18:06,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2012
2026-05-29 15:18:06,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2007
2026-05-29 15:18:06,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512705040>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2011
2026-05-29 15:18:06,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000028512718690>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2013
2026-05-29 15:18:06,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000028512704D10>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2011
2026-05-29 15:18:13,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2012
2026-05-29 15:18:13,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002851271BED0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2028
