Time,Target,URL,Mode,Status,Latency(ms)
2026-05-12 06:52:09,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE18D390>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2012
2026-05-12 06:52:09,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE18F3D0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2012
2026-05-12 06:52:16,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2003
2026-05-12 06:52:16,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1A88D0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2003
2026-05-12 06:52:16,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2002
2026-05-12 06:52:16,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1AA050>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2018
2026-05-12 06:52:16,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1A9410>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2018
2026-05-12 06:52:16,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE016AD0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2017
2026-05-12 06:52:16,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1A3DD0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2018
2026-05-12 06:52:24,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2006
2026-05-12 06:52:24,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1C19D0>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2006
2026-05-12 06:52:24,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2006
